red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
19971,2435,21,95057,12116,0,Rock,2.49,4.3,484
84,48528,29,78753,2206,0,Wooden Door,2.49,6.68,169
1,7603,30,118478,3488,0,Metal Facemask,38.13,338.94,1309
2,19956,325,101067,8250,0,Burlap Shirt,5.27,2.15,1217
214,12348,36,114573,2429,0,Riot Helmet,1.74,4.7,1177
3218,24936,42,85000,16404,0,Boots,0.99,0.92,84
3551,29174,26,94672,2177,0,Sheet Metal Door,1.49,1.62,113
5027,17949,425,103303,2896,0,Furnace,1.49,1.87,139
3202,23925,675,83835,17963,0,Leather Gloves,1.49,1.09,84
387,14600,47,113033,1533,0,Hoodie,0.99,0.8,92
1983,11888,57,111204,4468,0,Pants,0.99,0.74,92
7296,16111,23,84410,21760,0,Fridge,13.98,6.74,1197
1,21633,45,103988,3933,0,Eoka Pistol,1.86,16.47,1141
4300,15088,547,101784,7881,0,Furnace,2.41,2.47,455
186,18387,2121,101990,6916,0,Python Revolver,1.29,1.18,639
487,15020,5013,107136,1944,0,Semi-Automatic Pistol,1.99,1.26,1100
1,8839,68,120684,8,0,Snow Jacket,9.15,0.07,1671
8,20903,23,106742,1924,0,Acoustic Guitar,3.63,2.93,1280
442,12248,42,113191,3677,0,Leather Gloves,7.22,2.76,1260
0,13019,28,115786,767,0,Bandana Mask,3.42,0.12,1744
0,2480,30,127090,0,0,Beenie Hat,1.62,0.06,1779
0,8599,48,120834,119,0,Boots,2.54,0.35,1779
4,25919,29,100588,3060,0,Wooden Door,2.68,5.26,1023
0,7614,46,121928,12,0,Hoodie,4.57,0.22,1779
0,9905,40,119630,25,0,Longsleeve T-Shirt,2.49,0.53,1786
63,25738,50,98763,4986,0,Python Revolver,1.99,1.13,903
0,49,18,129533,0,0,Tank Top,4.99,16.83,1294
0,9176,79,118478,1867,0,LR-300,1.99,4.36,371
2,5194,45,123823,536,0,T-Shirt,2.49,0.16,1786
3,11531,41,117422,603,0,Boots,0.99,1.2,15
360,13778,52,112858,2552,0,Leather Gloves,1.49,1.84,15
1,2002,39,127505,53,0,Hoodie,0.99,1.99,22
1,670,46,128883,0,0,Pants,0.99,2.12,22
2124,19887,40,104523,3026,0,Furnace,1.49,2.18,897
0,2874,33,126658,35,0,Burlap Trousers,0.99,9.0,988
1,20829,30,107468,1272,0,Burlap Shirt,0.99,5.01,988
2706,12507,25,114185,177,0,Sheet Metal Door,1.49,3.24,813
651,18999,32,106732,3186,0,Waterpipe Shotgun,5.45,3.18,869
7988,19072,28,87690,14822,0,Armored Door,1.49,3.42,448
2,16416,37,108051,5094,0,Riot Helmet,0.99,3.0,729
4,2528,28,127032,8,0,Wooden Door,1.51,5.67,1205
2,12002,33,116261,1302,0,Metal Facemask,14.99,1.33,1291
8943,19433,35,100013,1176,0,Rug,1.49,5.45,379
79,3672,57,125522,270,0,Semi-Automatic Rifle,1.99,6.88,953
72,13698,45,113596,2189,0,Stone Hatchet,1.32,1.87,1006
366,26662,48,99040,3484,0,Boots,2.49,0.77,1701
835,10763,47,116740,1215,0,Hoodie,2.49,0.53,1751
1507,8267,30,116980,2816,0,Stone Pickaxe,1.4,2.0,1240
0,12411,28,116905,256,0,Bandana Mask,8.03,0.07,1744
0,17015,30,112555,0,0,Beenie Hat,0.77,0.06,1779
0,13940,474,115186,0,0,Baseball Cap,1.19,0.06,1772
0,10982,51,118253,314,0,Hoodie,1.24,0.06,1779
8,13213,169,115642,568,0,Jacket,0.89,0.07,1786
12,4830,63,124664,31,0,Pants,0.85,0.06,1786
19,25799,29,100159,3594,0,Sleeping Bag,4.99,3.16,1751
8,35472,8127,84161,1832,0,Sheet Metal Door,1.49,2.49,1016
3,30572,15309,82584,1132,0,Hide Skirt,2.1,5.78,1239
1,2340,173,127003,83,0,Pants,2.49,1.29,1751
2,16112,119,112831,536,0,T-Shirt,0.96,0.06,1779
31,8275,30,118709,2555,0,Double Barrel Shotgun,1.99,3.43,671
2418,23868,24,102315,975,0,Sheet Metal Door,1.49,1.85,778
187,12517,148,114968,1780,0,LR-300,1.99,3.65,581
119,6028,32,117922,5499,0,Bolt Action Rifle,1.99,3.71,603
37,11566,33,116449,1515,0,Metal Facemask,1.24,0.94,1247
2311,22878,35,98626,5750,0,Metal Chest Plate,0.99,0.87,132
1043,16345,32,109323,2857,0,Metal Facemask,0.99,0.83,132
1045,16695,41,107430,4389,0,Coffee Can Helmet,0.99,1.04,252
3153,21788,54,100204,4401,0,Road Sign Kilt,0.99,4.76,253
220,7137,55,121130,1058,0,M249,1.99,6.2,400
1376,27188,45,97454,3537,0,Road Sign Jacket,0.99,0.98,253
85,19873,46,92206,17390,0,Large Wood Box,1.49,2.8,805
3,27468,29,100902,1198,0,Wooden Door,1.49,2.72,805
104,10112,34,116241,3109,0,Stone Hatchet,1.99,1.58,560
1,13619,54,110083,5843,0,LR-300,1.99,2.82,883
103,6422,34,115940,7101,0,Stone Hatchet,1.88,1.76,1065
15,9064,21,115249,5251,0,Bone Club,1.99,1.98,567
1127,7627,76,119901,869,0,Custom SMG,1.99,2.77,1037
2,12704,33,113819,3042,0,Riot Helmet,1.51,5.65,1194
14228,13472,38,92884,8978,0,Satchel Charge,5.01,1.37,1209
6601,17766,47,97036,8150,0,Large Wood Box,2.99,28.04,581
266,18012,63,75661,35598,0,Large Wood Box,1.49,2.44,469
3869,16676,42,75681,33332,0,Leather Gloves,2.49,0.85,1624
6165,8600,57,108229,6549,0,Hammer,1.99,2.35,588
57,10224,42,113965,5312,0,Assault Rifle,4.99,2.31,736
